playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,Ghost,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-5,0.415,0.441,153.96,153190,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,0N3AcLTAS3vcx93PxN2Agb,Major League Djz,5fSBPtedqX65IaJlyGHbK0,BAKWA LAH,0.854,0.631,10,-11.123,0,0.0634,0.0255,0.00383,0.0382,0.587,111.998,390661,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3W0DeGwe5EHJwydiL6ECaC,Nvcho,5fSBPtedqX65IaJlyGHbK0,BAKWA LAH,0.854,0.631,10,-11.123,0,0.0634,0.0255,0.00383,0.0382,0.587,111.998,390661,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4ie8G7LI4tNKHAXln6mhiK,Mathandos,5fSBPtedqX65IaJlyGHbK0,BAKWA LAH,0.854,0.631,10,-11.123,0,0.0634,0.0255,0.00383,0.0382,0.587,111.998,390661,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4WJQEAwZjONMhNaVuMlHSo,C4 DJs,5fSBPtedqX65IaJlyGHbK0,BAKWA LAH,0.854,0.631,10,-11.123,0,0.0634,0.0255,0.00383,0.0382,0.587,111.998,390661,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,Shivers,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4dpARuHxo51G3z768sgnrY,Adele,46IZ0fSY2mpAiktS3KOqds,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,224695,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1bNjWBFWsAAzZSR59lRdpR,Kabza De Small,2qxgejJTaZIHNSHDD22Uhl,Abalele,0.788,0.449,5,-16.197,0,0.0835,0.181,0.027,0.133,0.59,113.001,416322,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,2qxgejJTaZIHNSHDD22Uhl,Abalele,0.788,0.449,5,-16.197,0,0.0835,0.181,0.027,0.133,0.59,113.001,416322,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3flcjKgRCeBVZTR8n8iShE,Ami Faku,2qxgejJTaZIHNSHDD22Uhl,Abalele,0.788,0.449,5,-16.197,0,0.0835,0.181,0.027,0.133,0.59,113.001,416322,4
