candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Puan Maharani,puanmaharani_ri,2022-03-15,12,7.857142857142857
Puan Maharani,puanmaharani_ri,2022-03-16,10,8.428571428571429
Puan Maharani,puanmaharani_ri,2022-03-18,18,10.142857142857142
Puan Maharani,puanmaharani_ri,2022-03-19,22,11.714285714285714
Puan Maharani,puanmaharani_ri,2022-03-20,29,15.571428571428571
Puan Maharani,puanmaharani_ri,2022-03-21,14,17.285714285714285
Puan Maharani,puanmaharani_ri,2022-03-22,8,16.142857142857142
Puan Maharani,puanmaharani_ri,2022-03-23,10,15.857142857142858
Puan Maharani,puanmaharani_ri,2022-03-24,5,15.142857142857142
Puan Maharani,puanmaharani_ri,2022-03-27,6,13.428571428571429
Puan Maharani,puanmaharani_ri,2022-03-28,4,10.857142857142858
Puan Maharani,puanmaharani_ri,2022-03-29,4,7.285714285714286
Puan Maharani,puanmaharani_ri,2022-03-30,11,6.857142857142857
Puan Maharani,puanmaharani_ri,2022-03-31,9,7
Puan Maharani,puanmaharani_ri,2022-04-01,9,6.857142857142857
Puan Maharani,puanmaharani_ri,2022-04-02,5,6.857142857142857
Puan Maharani,puanmaharani_ri,2022-04-03,6,6.857142857142857
Puan Maharani,puanmaharani_ri,2022-04-04,12,8
Puan Maharani,puanmaharani_ri,2022-04-05,2,7.714285714285714
Puan Maharani,puanmaharani_ri,2022-04-06,6,7
Puan Maharani,puanmaharani_ri,2022-04-07,15,7.857142857142857
Puan Maharani,puanmaharani_ri,2022-04-08,8,7.714285714285714
Puan Maharani,puanmaharani_ri,2022-04-09,3,7.428571428571429
Puan Maharani,puanmaharani_ri,2022-04-10,4,7.142857142857143
Puan Maharani,puanmaharani_ri,2022-04-11,2,5.714285714285714
Puan Maharani,puanmaharani_ri,2022-04-12,11,7
Puan Maharani,puanmaharani_ri,2022-04-15,8,7.285714285714286
Puan Maharani,puanmaharani_ri,2022-04-16,10,6.571428571428571
Puan Maharani,puanmaharani_ri,2022-04-18,14,7.428571428571429
Puan Maharani,puanmaharani_ri,2022-04-19,17,9.428571428571429
Puan Maharani,puanmaharani_ri,2022-04-21,25,12.428571428571429
Puan Maharani,puanmaharani_ri,2022-04-22,14,14.142857142857142
Puan Maharani,puanmaharani_ri,2022-04-24,2,12.857142857142858
Puan Maharani,puanmaharani_ri,2022-04-25,4,12.285714285714286
Puan Maharani,puanmaharani_ri,2022-04-26,40,16.571428571428573
Puan Maharani,puanmaharani_ri,2022-04-27,26,18.285714285714285
Puan Maharani,puanmaharani_ri,2022-04-29,4,16.428571428571427
Puan Maharani,puanmaharani_ri,2022-05-01,23,16.142857142857142
Puan Maharani,puanmaharani_ri,2022-05-02,3,14.571428571428571
Puan Maharani,puanmaharani_ri,2022-05-04,15,16.428571428571427
Puan Maharani,puanmaharani_ri,2022-05-05,8,17
Puan Maharani,puanmaharani_ri,2022-05-09,8,12.428571428571429
Puan Maharani,puanmaharani_ri,2022-05-11,10,10.142857142857142
Puan Maharani,puanmaharani_ri,2022-05-12,15,11.714285714285714
Puan Maharani,puanmaharani_ri,2022-05-13,17,10.857142857142858
Puan Maharani,puanmaharani_ri,2022-05-15,11,12
Puan Maharani,puanmaharani_ri,2022-05-16,12,11.571428571428571
Puan Maharani,puanmaharani_ri,2022-05-17,14,12.428571428571429
Puan Maharani,puanmaharani_ri,2022-05-18,24,14.714285714285714
Puan Maharani,puanmaharani_ri,2022-05-20,30,17.571428571428573
Puan Maharani,puanmaharani_ri,2022-05-23,12,17.142857142857142
Puan Maharani,puanmaharani_ri,2022-05-24,3,15.142857142857142
Puan Maharani,puanmaharani_ri,2022-05-27,8,14.714285714285714
Puan Maharani,puanmaharani_ri,2022-05-31,2,13.285714285714286
Puan Maharani,puanmaharani_ri,2022-06-01,11,12.857142857142858
Puan Maharani,puanmaharani_ri,2022-06-06,21,12.428571428571429
Puan Maharani,puanmaharani_ri,2022-06-09,16,10.428571428571429
Puan Maharani,puanmaharani_ri,2022-06-10,16,11
Puan Maharani,puanmaharani_ri,2022-06-16,11,12.142857142857142
Puan Maharani,puanmaharani_ri,2022-06-17,8,12.142857142857142
Puan Maharani,puanmaharani_ri,2022-06-21,6,12.714285714285714
Puan Maharani,puanmaharani_ri,2022-06-22,5,11.857142857142858
Puan Maharani,puanmaharani_ri,2022-06-23,5,9.571428571428571
Puan Maharani,puanmaharani_ri,2022-06-27,3,7.714285714285714
Puan Maharani,puanmaharani_ri,2022-06-29,15,7.571428571428571
Puan Maharani,puanmaharani_ri,2022-07-01,11,7.571428571428571
Puan Maharani,puanmaharani_ri,2022-07-04,7,7.428571428571429
Puan Maharani,puanmaharani_ri,2022-07-05,8,7.714285714285714
Puan Maharani,puanmaharani_ri,2022-07-06,10,8.428571428571429
Ridwan Kamil,ridwankamil,2022-03-08,8,NA
Ridwan Kamil,ridwankamil,2022-03-09,1,NA
Ridwan Kamil,ridwankamil,2022-03-10,1,NA
Ridwan Kamil,ridwankamil,2022-03-11,3,NA
Ridwan Kamil,ridwankamil,2022-03-14,3,NA
Ridwan Kamil,ridwankamil,2022-03-15,2,NA
Ridwan Kamil,ridwankamil,2022-03-16,10,4
Ridwan Kamil,ridwankamil,2022-03-17,4,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-03-18,3,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-03-19,1,3.7142857142857144
